codigo_cliente;nome_cliente;idate_cliente;email_cliente
527;"Aaron Short";34;eu.neque.pellentesque@egestas.ca
564;"Abdul B. Leon";93;luctus@tempusmauriserat.edu
164;"Abdul Riley";22;natoque@tincidunt.net
260;"Abel H. Mclaughlin";71;adipiscing@nibh.net
255;"Abra G. Grimes";28;a.feugiat.tellus@Praesentluctus.org
541;"Abraham Cantrell";42;Nullam.feugiat.placerat@Class.net
77;"Adara Decker";30;non.sollicitudin@doloregestasrhoncus.org
349;"Adele Roach";82;posuere.at@gravida.co.uk
472;"Adrian K. Fuller";53;Aliquam.tincidunt.nunc@vulputatevelit.com
451;"Adrian Noble";53;semper@semper.com
46;"Ahmed H. Warren";52;commodo.hendrerit.Donec@magna.org
406;"Ahmed Harding";91;nulla.vulputate@lacusUtnec.ca
150;"Ahmed M. Ewing";77;orci@ullamcorperDuiscursus.com
532;"Aileen Koch";61;eget.ipsum.Donec@ultricesposuere.org
609;"Aileen Mccarthy";87;elit.dictum.eu@bibendumullamcorperDuis.co.uk
281;"Ainsley M. Trujillo";99;Fusce.feugiat@diam.org
113;"Alea E. Washington";87;sit.amet.consectetuer@nonmagnaNam.edu
269;"Alea Q. Hines";82;nibh.dolor@euismodindolor.ca
467;"Alec K. Chambers";40;dictum@senectusetnetus.edu
85;"Alec N. Garner";106;a@fringillacursus.co.uk
224;"Alec Velez";103;magnis@nuncsed.net
53;"Alexandra N. Woods";108;Etiam@consectetueripsumnunc.org
322;"Alexis Chen";60;venenatis.vel.faucibus@atrisus.edu
324;"Allen Delgado";72;dapibus.gravida@leo.co.uk
279;"Allen Mckinney";48;dui.augue@tellusnonmagna.net
129;"Althea Quinn";107;sed.libero@dictum.ca
468;"Alvin Orr";54;et.magnis@auctornonfeugiat.edu
503;"Amber Rosario";107;aliquam@neque.com
147;"Amelia Barnes";70;Quisque.ac@senectus.ca
126;"Amelia W. Walters";61;iaculis@lacusEtiambibendum.ca
244;"Amena Mcdonald";45;enim.condimentum@Etiam.org
395;"Amity A. Mcbride";100;parturient.montes.nascetur@metus.ca
415;"Anastasia E. Stephenson";75;Vivamus.nisi.Mauris@ultricesDuis.net
158;"Anastasia R. Espinoza";20;fringilla.cursus.purus@miDuisrisus.net
551;"Angela Hunter";58;vitae@ipsumporta.edu
50;"Angelica Mckenzie";76;Lorem@duiaugue.co.uk
375;"Anika J. Gamble";95;et@pellentesquemassalobortis.edu
230;"Anika V. Callahan";19;eros.turpis@enimMaurisquis.org
524;"Anjolie K. Gilliam";88;tortor.dictum.eu@tellusnon.ca
553;"Anjolie Nelson";72;Nunc.laoreet@sed.net
214;"Anthony Dickerson";61;rhoncus@risusodio.co.uk
154;"April L. Carter";58;ipsum.primis@etipsum.co.uk
364;"Arden Carlson";23;dui.lectus.rutrum@ut.org
338;"Arden D. Kelly";54;purus.Maecenas@justo.co.uk
70;"Arden Weiss";63;Donec@Sed.co.uk
83;"Ariana Joyce";44;iaculis.nec.eleifend@arcuiaculis.com
543;"Ariel Y. Cox";88;consequat@diam.org
210;"Aristotle P. Willis";73;eget@convallisdolor.edu
201;"Aristotle V. Aguirre";102;aliquam.adipiscing@eget.ca
417;"Armando A. Dyer";45;Morbi.sit@commodoauctor.ca
